Date,Track,DJ,Show / Station,Episode / Venue,Notes
1994,Soundsation - Peace & Joy,Jeremy Healy,Sugar Shack,—,Original database
1994,Soundsation - Peace & Joy,Jon Pleased Wimmin,Up For It!,—,Original database
1994,Soundsation - Peace & Joy (White Label),Boy George & Jon Pleased Wimmin,Pimp,—,Original database
"Aug 13, 1994",Soundsation - Peace & Joy,Tony De Vit,Essential Mix,—,Original database
"Aug 27, 1994",Soundsation - Peace & Joy,Paul Oakenfold,20 Years Birthday,—,Original database
"Aug 27, 1994",Soundsation - Peace & Joy,Stu Allan,Fantazia Club Tour,—,Original database
"Nov 5, 1994",Soundsation - Peace & Joy,Sasha & Ann Savage,Ark,—,Original database
"Apr 1, 1995",Soundsation - Peace & Joy,Adam Brewer & Nipper,April Fools Party,—,Original database
1996,Soundsation - Do You Feel It,Sasha & John E,Better Days Productions – Good Life,—,Original database
1996,Soundsation - Do You Feel It,Dave Seaman & Ian Ossia,Renaissance: The Mix Collection Part 4,—,Original database
"Jun 15, 1996",Soundsation - Do You Feel It,Sasha,Cream,—,Original database
"Sep 14, 1996",Soundsation - Do You Feel It,Chris Fortier & Dave Cannalte,Simon's,—,Original database
Nov 1996,Soundsation - Do You Feel It,Dave Seaman,Kiss Galaxy November Mix,—,Original database
"Jan 21, 1997",Soundsation - Do You Feel It,Dave Seaman,Soundfiles,—,Original database
"Feb 7, 1997",Soundsation - Do You Feel It,Pete Tong,Essential Selection,—,Original database
"Jul 11, 1999",Soundstation - New Direction (Lunn & Latham Instrumental),DJ Philip,Carat,—,Original database
"Sep 5, 1999",Soundstation - New Direction (Lunn & Latham Mix),DJ Philip,Carat,—,Original database
"Sep 15, 1999",Soundstation - New Direction (Lunn & Latham Mix),DJ Philip,Carat,—,Original database
"Jul 7, 2001",Lunn & Latham - Starkiller,"Hardy Heller, Ulli Brenner & Tom Wax",Sound Of Frankfurt – Clubnight,—,Original database
200X,Soundsation - Peace & Joy,Robbie Nelson,The Arena,—,Original database
"Mar 12, 2008",Royal Sapien - Do You Feel It (Android Cartel Remix),Royal Sapien,Royal Sounds,—,Original database
"Sep 19, 2008",Simon Latham - On Fire (Chillout Bootleg Mix Down),Royal Sapien,Royal Sounds,—,Original database
"Mar 20, 2009",Royal Sapien - Do You Feel It (DnB Remix),Royal Sapien,Royal Sounds,—,Original database
"Oct 1, 2009",DJ Eco ft. Simon Latham - What Do You See (Ashley Wallbridge Remix),Andy Moor,A State Of Trance,424,Original database
"Oct 8, 2009",DJ Eco ft. Simon Latham - What Do You See (Ashley Wallbridge Dub),Gareth Emery,Gareth Emery Podcast,089,Original database
"Nov 13, 2009",DJ Eco ft. Simon Latham - What Do You See (Ashley Wallbridge Remix),Matamar & Ashley Wallbridge,Language Of Trance,031,Original database
"Nov 20, 2009",DJ Eco ft. Simon Latham - What Do You See (Ashley Wallbridge Dub),tyDi,Global Soundsystem,003,Original database
"Nov 26, 2009",Ingi & Simon Latham - Lead Me On (Royal Sapien Remix),Eelke Kleijn,Outside The Box,046,Original database
"Nov 29, 2010",Espen Lorentzen ft. Simon Latham - Heart (Tu Casa Dub),Sean Tyas,Tytanium Sessions,071,Original database
"Dec 12, 2010",Espen Lorentzen ft. Simon Latham - Heart (Tu Casa Dub),Jorn van Deynhoven,A State of Sundays,014,Original database
"Feb 4, 2011",Espen Lorentzen ft. Simon Latham - Heart (Tu Casa Dub),Roger Shah,Music For Balearic People,143,Original database
"Jul 7, 2011",Latham & Quano - Point Of Impact (First Effect Remix),Giuseppe Ottaviani,Trance Evolution Highlights,74,Added from later research
"Jul 11, 2011",Latham & Quano - Point Of Impact (Oliver V Lost His Faith Remix),Pedro del Mar,Mellomania Deluxe,495,Added from later research
"Jul 23, 2011",Latham & Quano - Point Of Impact (Oliver V Lost His Faith Remix),Thadeas & DJ Shaine,Language Of Trance,115,Added from later research
Aug 2011,Latham & Quano - Point Of Impact (Oliver V Lost His Faith Remix),Kyau & Albert,Euphonic Sessions,August 2011,Added from later research
"Jan 28, 2012",Maksim Palmaxs ft. Simon Latham - Falling,Michal Poliak,Radio Evropa 2,Dance eXXtravaganza,Original database
"Apr 2, 2012",Maksim Palmaxs ft. Simon Latham - Falling,Paul Oakenfold,Planet Perfecto,74,Original database
